Rank,Name,City,Country,Region,Manufacturer,Segment,OS,Cores,Memory,Rmax,Rpeak,Power
442,Government (I),Beijing,China,Asia,Huawei,Classified,Linux,15360,81920,480.5,639,240
443,IT Service Provider,Phoenix,US,North America,HPE,Industry,Linux,33280,NULL,478,745.5,2496
444,Software Company (M),,US,North America,HPE,Industry,Linux,19008,NULL,477.4,729.9,633.6
445,Software Company (M),,US,North America,HPE,Industry,Linux,19008,NULL,477.4,729.9,633.6
446,Navy DSRC,,US,North America,Cray Inc.,Government,Cray Linux Environment,41196,NULL,477,820.8,1153.49
447,University of Minnesota/Supercomputing Institute,Minneapolis,US,North America,HPE,Academic,Linux,15360,NULL,474.1,614.4,339.2
448,Electricity Company,Changsha,China,Asia,Sugon,Industry,Linux,252000,504000,474,2620.8,870
449,Internet Service (B),,China,Asia,Inspur,Industry,CentOS,30000,192000,473.6,960,316
450,Web Company (F),,US,North America,HPE,Industry,Linux,13920,NULL,472.2,556.8,464
451,Government,Beijing,China,Asia,Sugon,Government,Linux,36000,144000,469.4,748.8,540
452,Service Provider  (S),,China,Asia,Lenovo,Industry,Linux,30000,160000,468.8,1152,1875
453,Telecommunications Company,Beijing,China,Asia,Sugon,Industry,CentOS,153000,612000,468.2,2570.4,1750
454,DGIST Supercomputing & Big Data Center,Daegu, South Korea,Asia,HPE,Academic,Linux,14400,18432,467.4,983,576
455,Internet Company,Beijing,China,Asia,Inspur,Industry,CentOS,28800,115200,466.1,1059.8,244
456,Software Company (M),,US,North America,HPE,Industry,Linux,20472,NULL,465.2,786.1,682.4
457,Mississippi State University,Starkville,US,North America,Cray Inc.,Academic,Linux,33600,15360,463.1,592.7,193.4
458,University of Southern Denmark,Odense,Denmark,Europe,Lenovo,Academic,Linux,17928,42048,462.4,836.6,187.45
459,Geoscience (P),,US,North America,HPE,Industry,Linux,40320,NULL,461.8,1141.5,4032
460,Hosting Company,,US,North America,HPE,Industry,Linux,23232,NULL,461.4,929.3,774.4
461,Government,Jinan,China,Asia,Sugon,Government,CentOS,15500,16000,461.4,1027,280
462,Service Provider T,,China,Asia,Lenovo,Industry,Linux,54000,288000,461.3,2073.6,3375
463,Service Provider T,,China,Asia,Lenovo,Industry,Linux,54000,288000,461.3,2073.6,3375
464,Software Company (M),,US,North America,HPE,Industry,Linux,18360,NULL,461.2,705,612
465,Yahoo Japan Corporation,Tokyo,Japan,Asia,ExaScalar,Industry,CentOS,10080,12800,460.7,792.1,32.8
466,Maui High-Performance Computing Center (MHPCC),Kihei,US,North America,IBM,Research,RHEL,4736,8192,460.2,694.9,69
467,Information Technology Center- The University of Tokyo,Tokyo,Japan,Asia,HPE,Academic,RHEL,15120,107520,459.8,508,199.05
468,Cloud Provider,,Australia,Oceania,HPE,Industry,Linux,20160,NULL,458.1,774.1,672
469,Energy Company (D),Houston,US,North America,HPE,Industry,Linux,32256,NULL,457.6,670.9,2419.2
470,Carl von Ossietzky University of Oldenburg,Oldenburg,Germany,Europe,Lenovo,Academic,Linux,12960,81152,457.2,601.3,486
471,Laboratório Nacional de Computação Científica,Petrópolis,Brazil,South America,Bull,Academic,bullx SCS,10692,12672,456.8,657.5,371.25
472,Internet Company,Beijing,China,Asia,Sugon,Industry,CentOS,43200,172800,456.5,725.8,670
473,Internet Company,Beijing,China,Asia,Sugon,Industry,CentOS,43200,172800,456.5,725.8,670
474,Manufacturing Company B,,Germany,Europe,Huawei,Industry,Linux,17280,92160,456,608.3,204.7
475,Internet Service (B),,China,Asia,Inspur,Industry,CentOS,7992,7104,455.2,686.1,128
476,Internet Company B,Hangzhou,China,Asia,Sugon,Industry,CentOS,120000,480000,454.8,2400,1500
477,Internet Company W,Wuhan,China,Asia,Sugon,Industry,CentOS,120000,480000,454.8,2400,1500
478,Exploration & Production - Eni S.p.A.,,Italy,Europe,IBM,Industry,Linux,24000,NULL,454.1,499.2,498.53
479,IT Service Provider (L),Beijing,China,Asia,Sugon,Industry,CentOS,24000,64000,450.8,921.6,600
480,Cloud Provider,,Brazil,South America,HPE,Industry,Linux,17136,NULL,450.2,658,571.2
481,Semiconductor Company,,China,Asia,Huawei,Industry,Linux,13440,107520,449.8,688.1,315
482,Collaborative Research Center SFB/TRR55,Regensburg / Wuppertal / Juelich,Germany,Europe,Fujitsu,Research,Linux,18432,18432,449.5,766.8,77.35
483,IT Provider (P),,US,North America,HPE,Industry,Linux,14448,19264,445.9,577.9,797.65
484,Financial Institution (B),,China,Asia,Lenovo,Industry,Linux,17840,114176,445.3,742.1,669
485,Software Company (M),,US,North America,HPE,Industry,Linux,16128,NULL,444.5,619.3,537.6
486,China Telecom,,China,Asia,Lenovo,Industry,Linux,21120,135168,443,675.8,792
487,Electricity Company,Beijing,China,Asia,Sugon,Industry,Linux,40320,80640,442.5,709.6,300
488,Saudi Aramco,Dharan,Saudi Arabia,Asia,IBM/Lenovo,Industry,Linux,24336,97344,441.8,506.2,505.5
489,Interdisciplinary Centre for Mathematical and Computational Modelling,,Poland,Europe,Huawei,Academic,Linux,14540,60800,439.1,591.2,394.9
490,HPC2N - Umea University,Umea,Sweden,Europe,Lenovo,Academic,Linux,17632,67392,438.8,749.6,566.74
491,Internet Company A,,China,Asia,Lenovo,Industry,Linux,18240,48640,437.8,729.6,570
492,Internet Service (S),,China,Asia,Lenovo,Industry,Linux,20592,82368,434.9,790.7,965.25
493,China Meteorological Administration,Beijing,China,Asia,IBM,Research,Other,17920,NULL,434.8,508.9,544
494,China Meteorological Administration,Beijing,China,Asia,IBM,Research,Other,17920,NULL,434.8,508.9,544
495,Software Company (M),,US,North America,HPE,Industry,Linux,16512,NULL,433.8,634.1,550.4
496,Software Company (M),,US,North America,HPE,Industry,Linux,16512,NULL,433.8,634.1,550.4
497,Sandia National Laboratories / National Renewable Energy Laboratory,Albuquerque,US,North America,Sun,Research,CentOS,42440,22104,433.5,497.4,4343.73
498,Electricity Company,Beijing,China,Asia,Sugon,Industry,Linux,43200,172800,433.3,691.2,530
499,Internet Company,Beijing,China,Asia,Sugon,Industry,CentOS,110000,440000,432.2,2200,1200
500,Bull,Angers,France,Europe,Bull,Vendor,RHEL,12960,34560,430.5,539.1,205
